trace_start_time,source_origin_time,receiver_latitude,receiver_longitude,receiver_elevation_m,p_arrival_sample,p_weight,p_travel_sec,s_arrival_sample,s_weight,source_latitude,source_longitude,source_depth_km,source_magnitude,source_magnitude_type,source_distance_deg,source_distance_km,back_azimuth_deg,trace_category,trace_name
2014-12-26 21:14:46.630000,2014-12-26 21:14:52.860000,46.85085,-121.79295,3365,700,0.79,0.769999980926514,762,1,46.8465,-121.76083,1.1,-0.5,md,0.02247,2.5,101.2,earthquake_local,STAR.UW_20141226211445_EV
2015-09-07 11:33:17.099940,2015-09-07 11:33:19.767000,39.3517,-120.3205,2268,600,0.95,3.33294010162354,836.38,0.93,39.5005,-120.3118,6.3,-0.42,ml,0.149,16.54,2.59,earthquake_local,DON.NN_20150907113316_EV
2015-03-02 18:19:41.540000,2015-03-02 18:19:48.790000,46.85085,-121.79295,3365,800,1,0.75,857,0.82,46.84633,-121.76383,1.29,-0.39,md,0.02049,2.28,102.8,earthquake_local,STAR.UW_20150302181940_EV
2015-08-29 21:07:32.710000,2015-08-29 21:07:35.660000,46.750599,-121.809601,853,500,0.87,2.04999995231628,673,0.85,46.849,-121.73733,2.09,-0.36,md,0.1103,12.25,26.7,earthquake_local,LON.UW_20150829210731_EV
2017-04-05 10:40:49.439010,2017-04-05 10:40:52.799000,36.7246,-116.9759,747,700,0.95,3.6400101184845,932.051,0.93,36.5998,-117.0722,7.1,-0.3,ml,0.147,16.31,211.73,earthquake_local,HEL.SN_20170405104048_EV
2015-07-26 22:22:01.600000,2015-07-26 22:22:09.680000,46.85085,-121.79295,3365,900,1,0.9200000166893,968,0.72,46.84067,-121.73633,2.64,-0.29,md,0.04018,4.46,104.8,earthquake_local,STAR.UW_20150726222200_EV
2015-06-22 12:45:01.510000,2015-06-22 12:45:05.560000,46.3033,-122.2648,990,500,1,0.949999988079071,580,0.83,46.2955,-122.21783,2.01,-0.27,md,0.03348,3.72,103.5,earthquake_local,B201.PB_20150622124500_EV
2014-12-05 23:11:05.220000,2014-12-05 23:11:10.920000,46.2447,-122.1367,1218.6,700,1,1.29999995231628,807,0.82,46.26783,-122.18867,4.18,-0.26,md,0.04284,4.76,302.8,earthquake_local,B202.PB_20141205231104_EV
2014-12-03 13:16:47.430000,2014-12-03 13:16:54.330000,46.2447,-122.1367,1218.6,900,1,2.09999990463257,1053,1,46.31433,-122.17533,6.54,-0.25,md,0.07463,8.29,339,earthquake_local,B202.PB_20141203131646_EV
2015-07-11 12:00:28.390000,2015-07-11 12:00:35.890000,46.2447,-122.1367,1218.6,900,1,1.5,1021,0.8,46.27933,-122.2025,4.33,-0.24,md,0.05731,6.37,307.3,earthquake_local,B202.PB_20150711120027_EV
2017-04-16 15:53:57.253830,2017-04-16 15:53:59.066000,38.2513,-118.5049,2353,400,0.95,2.18782997131348,551.492,0.93,38.2645,-118.4815,8.1,-0.2,ml,0.023,2.52,54.25,earthquake_local,LHV.NN_20170416155356_EV
2015-07-15 18:43:19.000000,2015-07-15 18:43:20.830000,46.169,-122.333667,814.4,600,1,4.17000007629395,918,1,46.35483,-122.22917,8.85,-0.19,md,0.1995,22.17,21.3,earthquake_local,B203.PB_20150715184318_EV
2014-08-01 22:19:10.549440,2014-08-01 22:19:06.098000,39.710602,-119.385399,1520,800,0.95,12.4514398574829,1711.946,0.93,39.4073,-120.1249,6.3,-0.18,ml,0.646,71.92,241.76,earthquake_local,PAH.NN_20140801221909_EV
2015-01-04 05:43:06.340000,2015-01-04 05:43:10.200000,46.23749,-122.22421,1189,500,1,1.13999998569489,588,1,46.26933,-122.203,2.8,-0.17,md,0.03491,3.9,24.6,earthquake_local,STD.CC_20150104054305_EV
2015-04-30 09:04:10.300000,2015-04-30 09:04:16.170000,46.3033,-122.2648,990,700,1,1.12999999523163,813,1,46.32483,-122.21733,3.54,-0.16,md,0.03932,4.37,56.7,earthquake_local,B201.PB_20150430090409_EV
2016-04-21 07:14:42.560000,2016-04-21 07:14:50.940000,38.807968,-122.795303,939,900,0.62,0.620000004768372,954,0.86,38.82083,-122.82267,0.71,-0.15,md,0.02523,2.77,301.1,earthquake_local,GDXB.NC_20160421071441_EV
2015-03-18 05:39:45.070000,2015-03-18 05:39:49.550000,46.2447,-122.1367,1218.6,600,1,1.51999998092651,719,0.82,46.26917,-122.21633,1.42,-0.14,md,0.06043,6.72,294,earthquake_local,B202.PB_20150318053944_EV
2015-05-26 07:13:56.910000,2015-05-26 07:14:01.460000,43.73317,-121.28988,1903,700,0.7,2.45000004768372,873,1,43.6875,-121.40217,1.77,-0.13,md,0.09335,10.38,240.6,earthquake_local,NN21.UW_20150526071355_EV
2015-07-04 16:13:46.150000,2015-07-04 16:13:50.190000,43.75097,-121.14862,1966,500,0.92,0.959999978542328,632,0.9,43.732,-121.19667,0.5,-0.12,md,0.03965,4.41,241.3,earthquake_local,CIHL.CC_20150704161345_EV
2015-09-09 17:30:37.650000,2015-09-09 17:30:43.590000,46.23749,-122.22421,1189,900,0.85,3.05999994277954,1166,0,46.2295,-122.3375,14.06,-0.11,md,0.07923,8.78,264.1,earthquake_local,STD.CC_20150909173036_EV
2013-03-28 17:37:28.370000,2013-03-28 17:37:30.040000,33.598182,-116.596005,1374.8,500,0.62,3.32999992370606,735,0.56,33.504,-116.43717,8.53,-0.1,ml,0.1625,18.07,125.5,earthquake_local,B082.PB_20130328173727_EV
2015-05-31 09:18:02.780000,2015-05-31 09:18:09.380000,46.3033,-122.2648,990,900,1,2.40000009536743,1105,0.8,46.36983,-122.26017,11.77,-0.07,md,0.06663,7.4,2.8,earthquake_local,B201.PB_20150531091801_EV
2015-01-27 20:35:28.600000,2015-01-27 20:35:32.800000,46.27527,-122.21826,1219,700,0.85,2.79999995231628,932,0.83,46.18833,-122.293,10.26,-0.06,md,0.1013,11.25,210.9,earthquake_local,JRO.CC_20150127203527_EV
2015-07-08 07:25:56.650000,2015-07-08 07:26:00.760000,46.169,-122.333667,814.4,800,0.91,3.89000010490418,1099,0.89,46.332,-122.22567,10.89,-0.04,md,0.1794,19.94,24.7,earthquake_local,B203.PB_20150708072555_EV
2015-07-27 11:16:00.500000,2015-07-27 11:16:02.220000,47.5347,-123.0894,262,500,0.87,3.27999997138977,780,0.85,47.43983,-122.8945,10.05,-0.03,md,0.1627,18.08,125.8,earthquake_local,D03D.TA_20150727111559_EV
2015-05-19 18:32:43.961440,2015-05-19 18:32:38.988000,36.9016,-116.2528,1573,900,0.95,13.9734401702881,1915.781,0.93,37.4363,-116.8301,19.3,-0.02,ml,0.706,78.42,319.12,earthquake_local,TPW.SN_20150519183242_EV
